Fighter,Result,Opponent,Event,Date,Method,Rounds,Time
Roberto Soldic,win,Michal Pietrzak,KSW 50 - London,Sep / 14 / 2019,Decision (Unanimous),3,5:00
Roberto Soldic,win,Vinicius Bohrer,KSW 46 - Narkun vs. Khalidov 2,Dec / 01 / 2018,KO (Punch),1,4:35
Roberto Soldic,loss,Dricus Du Plessis,Apr / 14 / 2018,Apr / 14 / 2018,TKO (Punches),2,1:37
Roberto Soldic,win,Lewis Long,CWFC 87 - Cage Warriors Fighting Championship 87,Oct / 14 / 2017,KO (Head Kick),1,0:40
Roberto Soldic,win,Slobodan Vukic,SBC 14 - Serbian Battle Championship 14,Jul / 08 / 2017,KO (Punch),1,1:04
Roberto Soldic,win,Ivica Truscek,FFC 27 - Night of Champions,Dec / 17 / 2016,TKO (Punches),1,1:47
Roberto Soldic,win,Sasa Drobac,FFC - Final Fight Championship 20,Oct / 23 / 2015,Decision (Unanimous),3,5:00
Roberto Soldic,win,Vladimir Prodanovic,SBC 5 - Serbian Battle Championship,May / 09 / 2015,TKO (Punches),2,1:30
Roberto Soldic,win,Mladen Ponjevic,Thunderman - Fight Night Metkovic 1,Dec / 21 / 2014,Submission (Guillotine Choke),1,0:35
Roberto Soldic,win,Krystian Kaszubowski,KSW 49 - Materla vs. Askham 2,May / 18 / 2019,KO (Punch),1,1:25
Roberto Soldic,win,Dricus Du Plessis,KSW 45 - The Return to Wembley,Oct / 06 / 2018,KO (Punches),3,2:33
Roberto Soldic,win,Borys Mankowski,KSW 41 - Mankowski vs. Soldic,Dec / 23 / 2017,TKO (Corner Stoppage),3,5:00
Roberto Soldic,win,Dez Parker,Superior FC 18 - Superior Fighting Championship 18,Sep / 16 / 2017,TKO (Punches),1,3:29
Roberto Soldic,win,Rafal Lewon,Superior FC 16 - Superior Fighting Championship 16,Mar / 11 / 2017,TKO (Punches),3,1:56
Roberto Soldic,win,Pascal Kloser,SMMAC - Swiss MMA Championship 4,Oct / 01 / 2016,TKO (Punches),1,1:34
Roberto Soldic,win,Vaso Bakocevic,SBC 8 - Serbian Battle Championship ,Mar / 05 / 2016,TKO (Punches),3,1:51
Roberto Soldic,loss,Marko Radakovic,Jul / 27 / 2015,Jul / 27 / 2015,Decision (Unanimous),2,5:00
Roberto Soldic,win,Savo Lazic,AFC - Arti Fighting Championship 4,Mar / 15 / 2015,KO (Kick),1,2:05
Roberto Soldic,win,Ante Alilovic,AFC - Arti Fighting Championship 3,Oct / 19 / 2014,TKO (Punches),2,2:50
Maxim Konovalov,win,Ivan Sergeevich Bogdanov,GIT Sech Pro - Time of New Heroes 3,Dec / 01 / 2019,Decision (Unanimous),3,5:00
Maxim Konovalov,draw,Vasiliy Kurochkin,May / 08 / 2019,May / 08 / 2019,Decision (Split),3,5:00
Maxim Konovalov,win,Tyson Djone,KMS Promotion - GFT 2: Grand Fight Tournament 2,May / 07 / 2018,TKO (Punches),1,1:30
Maxim Konovalov,win,Safarbek Sangov,Russian Cagefighting Championship - RCC 1: Battles in the Cage,Nov / 11 / 2017,TKO (Leg Injury),1,2:43
Maxim Konovalov,win,Viskhan Amirkhanov,ACB 59 - Young Eagles 18,May / 25 / 2017,Decision (Unanimous),3,5:00
Maxim Konovalov,loss,Sadrudin Vakhidov,Apr / 29 / 2016,Apr / 29 / 2016,Decision (Unanimous),3,5:00
Maxim Konovalov,win,Airat Shangaraev,WCSA Combat League - Combat Ring 16,Dec / 20 / 2015,TKO,2,N/A
Maxim Konovalov,win,Mars Rakhmanov,AFC - Ambitions Fighting Championship 4,Jul / 18 / 2015,TKO (Punches),1,0:42
Maxim Konovalov,win,Oleg Golovnya,Kazakhstan MMA Federation - Martial Arts Festival,Jun / 27 / 2014,TKO (Punches),1,2:40
Maxim Konovalov,loss,Vasiliy Kurochkin,Sep / 14 / 2019,Sep / 14 / 2019,Decision (Unanimous),3,5:00
Maxim Konovalov,win,Khayal Iskenderov,Russian Cagefighting Championship - RCC 4,Oct / 27 / 2018,TKO (Punches),2,4:40
Maxim Konovalov,win,Bektursun Turdaliev,Russian Cagefighting Championship - RCC 2: Battles in the Cage,Feb / 24 / 2018,TKO (Retirement),2,5:00
Maxim Konovalov,loss,Evgeny Bondar,Sep / 16 / 2017,Sep / 16 / 2017,Decision (Unanimous),3,5:00
Maxim Konovalov,win,Namozali Mekhridini,AFC - Ambitions Fighting Championship 14,Nov / 26 / 2016,Submission (Rear-Naked Choke),1,2:34
Maxim Konovalov,win,Vladimir Vasilyev,AFC - Ambitions Fighting Championship 9,Dec / 12 / 2015,KO (Knee),1,2:45
Maxim Konovalov,win,Kurban Radzhabov,WCSA Combat League - Combat Ring 11: Steel Heart,Nov / 15 / 2014,TKO (Punches),3,2:30
Diego Gonzalez,loss,Ikram Aliskerov,Dec / 27 / 2019,Dec / 27 / 2019,TKO (Punches),3,0:00
Diego Gonzalez,win,Mostafa Rashed Neda,Phoenix Fighting Championship - Phoenix 6: Abu Dhabi,Apr / 05 / 2018,Submission (Guillotine Choke),1,N/A
Diego Gonzalez,win,Carlos Moyano,ADW - Abu Dhabi Warriors 4,May / 24 / 2016,Submission (Arm-Triangle Choke),2,4:18
Diego Gonzalez,win,Frodi Vitalis Hansen,Superior Challenge 10 - Helsingborg,May / 03 / 2014,Submission (Rear-Naked Choke),2,2:39
Diego Gonzalez,loss,David Bielkheden,Jun / 14 / 2013,Jun / 14 / 2013,Decision (Unanimous) ,3,5:00
Diego Gonzalez,loss,Ivan Buchinger,May / 24 / 2012,May / 24 / 2012,TKO (Punches),2,1:30
Diego Gonzalez,loss,Andre Winner,Dec / 10 / 2011,Dec / 10 / 2011,Decision (Unanimous),3,5:00
Diego Gonzalez,loss,Daniel Acacio,Apr / 30 / 2011,Apr / 30 / 2011,Decision (Unanimous),3,5:00
Diego Gonzalez,win,Yasushi Kitazaki,Superior Challenge 4 - Bad Intentions,Oct / 31 / 2009,Decision (Unanimous),3,5:00
Diego Gonzalez,win,Fatih Dogan,M-1 Challenge 16 - USA,Jun / 05 / 2009,TKO (Punches),1,2:16
Diego Gonzalez,win,Steve Berger,Bodog Fight - Vancouver,Aug / 24 / 2007,Decision (Unanimous),3,5:00
Diego Gonzalez,win,Matt Thorpe,Bodog Fight - Clash of the Nations,Dec / 16 / 2006,Decision (Unanimous),3,5:00
Diego Gonzalez,loss,Dan Hardy,Mar / 25 / 2006,Mar / 25 / 2006,TKO (Doctor Stoppage),3,0:19
Diego Gonzalez,win,Pauli Mantere,Shooto Finland - Collision,Sep / 03 / 2005,Submission (Kimura),1,0:00
Diego Gonzalez,win,Kristian Helde,Shooto Sweden - Second Impact,Mar / 12 / 2005,Submission (Triangle Choke),1,3:55
Diego Gonzalez,loss,Kenneth Rosfort-Nees,Apr / 04 / 2004,Apr / 04 / 2004,TKO (Punches),3,2:41
Diego Gonzalez,win,Sami Hyyppa,FF 6 - FinnFight 6,Nov / 30 / 2002,Submission (Heel Hook),1,2:33
Diego Gonzalez,loss,Makhmud Muradov,Mar / 16 / 2019,Mar / 16 / 2019,Decision (Unanimous),3,5:00
Diego Gonzalez,loss,Morten Djursaa,Sep / 17 / 2016,Sep / 17 / 2016,Decision (Unanimous),3,5:00
Diego Gonzalez,win,Nayeb Hezam,ADW - Road to Abu Dhabi 1,Aug / 22 / 2015,Submission (Guillotine Choke),2,0:27
Diego Gonzalez,win,Karim Mammar,Superior Challenge 11 - Sodertalje,Nov / 29 / 2014,Submission (Guillotine Choke),3,0:00
Diego Gonzalez,loss,Anton Kuivanen,Nov / 23 / 2013,Nov / 23 / 2013,KO (Punches),1,0:50
Diego Gonzalez,loss,Danny Roberts,May / 04 / 2013,May / 04 / 2013,TKO (Knee and Punches),2,3:02
Diego Gonzalez,win,Ivica Truscek,CWFC 46 - Cage Warriors Fighting Championship 46,Feb / 23 / 2012,Submission (Guillotine Choke),2,3:25
Diego Gonzalez,win,Jarkko Latomaki,BP 10 - Botnia Punishment 10,Sep / 23 / 2011,Submission (Toe Hold),1,4:26
Diego Gonzalez,loss,Akihiro Gono,Mar / 07 / 2010,Mar / 07 / 2010,Decision (Unanimous),3,5:00
Diego Gonzalez,win,Nordin Asrih,M-1 Challenge 18 - Netherlands Day One,Aug / 15 / 2009,Decision (Unanimous),3,5:00
Diego Gonzalez,win,Manuel Garcia,Superior Challenge 1 - The Uprising,Apr / 05 / 2008,Submission (Strikes),1,1:30
Diego Gonzalez,win,Leslee Ojugbana,SAS 1 - Strike and Submit 1,Jan / 28 / 2007,Submission (Triangle Choke),2,3:00
Diego Gonzalez,win,Arni Isaksson,CWFC - Cage Warriors 23: Strike Force 6,May / 27 / 2006,Decision (Unanimous),3,5:00
Diego Gonzalez,NC,Dan Hardy,CWFC - Cage Warriors 16: Strike Force 3,Oct / 01 / 2005,No Contest,2,1:19
Diego Gonzalez,win,Kimmo Nurkse,Shooto Finland - Poolhouse Punishment,Apr / 16 / 2005,Submission (Kimura),1,3:35
Diego Gonzalez,win,Tim Vinther,EVT 4 - Gladiators,Sep / 26 / 2004,Decision,3,5:00
Diego Gonzalez,loss,Nico Nasieri,Sep / 15 / 2003,Sep / 15 / 2003,KO,1,3:22
Avtandil Gachechiladze,loss,Yuriy Yatsyk,Jun / 05 / 2015,Jun / 05 / 2015,Decision (Unanimous),2,5:00
Avtandil Gachechiladze,loss,Francesco Bocca,Oct / 05 / 2019,Oct / 05 / 2019,Decision (Unanimous),2,3:00
Boris Selanov,win,Vitaliy Matornika,CSFU - MMA Kiev Cup 3,Jun / 28 / 2014,Submission (Choke),2,4:28
Boris Selanov,win,Aleksey Nimirovich,CSFU - MMA Kiev Cup 3,Jun / 28 / 2014,TKO (Punches),1,2:20
Aleksey Nimirovich,win,Anton Vokalenko,CSFU - Voshod Open Cup,Jul / 26 / 2014,Decision (Unanimous),2,5:00
Aleksey Nimirovich,win,Artem Bonduk,CSFU - MMA Kiev Cup 3,Jun / 28 / 2014,Submission (Rear-Naked Choke),2,1:33
Valeri Shpak,loss,Adam Yandiev,Dec / 20 / 2014,Dec / 20 / 2014,Submission (Neck Crank),1,2:19
Valeri Shpak,loss,Andrey Bezverkhiy,Sep / 11 / 2013,Sep / 11 / 2013,Decision (Unanimous),2,5:00
Valeri Shpak,loss,Shamil Abdulkhalikov,Jun / 05 / 2013,Jun / 05 / 2013,TKO (Punches),2,0:39
Valeri Shpak,loss,Alexey Repalov,Aug / 03 / 2012,Aug / 03 / 2012,TKO (Punches),1,1:31
Valeri Shpak,loss,Bogdan Kotlovyanov,Jun / 12 / 2013,Jun / 12 / 2013,Decision (Unanimous),3,5:00
Valeri Shpak,loss,Andrei Makarenko,Jun / 01 / 2013,Jun / 01 / 2013,Submission (Triangle Choke),1,2:43
Valeri Shpak,win,Aleksander Surnich,M-1 Belarus 18 - Belarus Fighting Championship,Apr / 28 / 2012,Submission (Rear-Naked Choke),3,0:00
Vitaliy Matornika,loss,Alexander Starikov,Jul / 26 / 2014,Jul / 26 / 2014,TKO (Punches),2,4:20
Vitaliy Matornika,loss,Vadim Benyukh,Sep / 15 / 2012,Sep / 15 / 2012,Submission (Triangle Choke),2,2:47
Vitaliy Maystrenko,loss,Aleksander Paklin,Aug / 18 / 2012,Aug / 18 / 2012,Submission (Guillotine Choke),1,4:04
Ben Egli,loss,Nick Browne,Jul / 31 / 2020,Jul / 31 / 2020,Decision (Unanimous),3,5:00
Ben Egli,win,Joey Holt,FFC 35 - Final Fight Championship 35: Egli vs. Holt,Apr / 19 / 2019,Submission (Guillotine Choke),2,2:25
Ben Egli,loss,Umar Yankovski,Apr / 07 / 2018,Apr / 07 / 2018,Decision (Unanimous),3,5:00
Ben Egli,win,Justin Baesman,KOTC - Headstrong,May / 27 / 2017,Submission (Rear-Naked Choke),1,3:08
Ben Egli,win,Aaron Hedrick,KOTC - High Caliber,Oct / 01 / 2016,Submission (Guillotine Choke),1,1:17
Ben Egli,win,David Evans,KOTC - Undeniable,Jun / 27 / 2015,KO (Punch),1,0:56
Ben Egli,win,Nathan Wallner,FCFF - Rumble at the Roseland 79,Dec / 06 / 2014,Submission (Rear-Naked Choke),1,0:54
Ben Egli,win,Josh Snodgrass,Main Event Sports - Main Event MMA 2,Apr / 19 / 2014,Submission (Arm-Triangle Choke),1,1:12
Ben Egli,win,Billy Denney,FCFF - Rumble at the Roseland 59,Sep / 24 / 2011,Submission (Armbar),3,2:16
Ben Egli,win,John Garcia,FCFF - Ducks vs. Beavers,Dec / 02 / 2010,Submission (Choke),1,0:45
Ben Egli,win,Clint Patterson,Alive MMA - First Friday Fights 9,May / 07 / 2010,Submission (Guillotine Choke),1,1:06
Ben Egli,loss,John Bartlett,Sep / 04 / 2009,Sep / 04 / 2009,Submission (Arm-Triangle Choke),3,2:36
Ben Egli,win,Julian Oglesby,FCFF - Rumble at the Roseland 35,May / 10 / 2008,Submission,2,1:22
Ben Egli,win,Roberto Neves,FFC 31 - Night of Champions,Oct / 12 / 2018,Submission (Rear-Naked Choke),1,3:25
Ben Egli,win,Tyson Jeffries,KOTC - Fractured,Aug / 05 / 2017,TKO (Punches),5,4:30
Ben Egli,win,Ryan Walker,KOTC - Heavy Trauma,Feb / 04 / 2017,Submission (Rear-Naked Choke),4,1:16
Ben Egli,loss,E.J. Brooks,Mar / 04 / 2016,Mar / 04 / 2016,Decision (Unanimous),3,5:00
Ben Egli,win,Adam Walkemeyer,KOTC - Warrior's Spirit,Mar / 21 / 2015,Submission (Rear-Naked Choke),1,1:51
Ben Egli,win,Rod Jaques,FCFF - Battle at the Mountain 2,Sep / 06 / 2014,Submission ,1,3:11
Ben Egli,win,Raven Guice,CWC 9 - Cage Warrior Combat 9,Nov / 02 / 2013,Submission (Triangle Choke),1,0:48
Ben Egli,win,Jason Novelli,FCFF - Rumble at the Roseland 57,May / 21 / 2011,Submission (Rear-Naked Choke),3,1:20
Ben Egli,win,Travis Cavalli,FCFF - Rumble at the Roseland 53,Aug / 28 / 2010,Submission ,1,1:14
Ben Egli,win,Brandon Alderman,Alive MMA - First Friday Fights 6,Feb / 05 / 2010,Submission ,1,1:58
Ben Egli,win,Mike Lister,FCFF - Rumble at the Roseland 37,Jul / 12 / 2008,TKO (Punches),2,2:50
Rocky Edwards,loss,William Knight,Jan / 24 / 2020,Jan / 24 / 2020,TKO (Punches),3,2:56
Rocky Edwards,loss,Devin Smyth,Mar / 09 / 2019,Mar / 09 / 2019,TKO (Punches),1,1:14
Rocky Edwards,win,Quinton Parks Jr.,Iron Tiger Fight Series / Alliance MMA - Alliance MMA at the Arnold Sports Festival,Mar / 03 / 2018,Decision (Unanimous),3,3:00
Rocky Edwards,loss,Sean Brady,Feb / 27 / 2016,Feb / 27 / 2016,Decision (Unanimous),3,5:00
Rocky Edwards,loss,Bobby Nash,May / 08 / 2015,May / 08 / 2015,Decision (Unanimous),3,3:00
Rocky Edwards,loss,Rex Harris,Jan / 24 / 2015,Jan / 24 / 2015,Decision (Unanimous),3,5:00
Rocky Edwards,win,Jason Nickoson,OFC 21 - Intimidation,May / 31 / 2014,Decision (Unanimous),3,5:00
Rocky Edwards,loss,Taylor Ruscin,Dec / 07 / 2013,Dec / 07 / 2013,Decision (Unanimous),5,5:00
Rocky Edwards,win,Micah Bender,MMA Brawl Room - Quaker Steak and Lube Fight Night 1,Aug / 10 / 2013,Submission (Keylock),1,1:53
Rocky Edwards,loss,Todd Bevan,Feb / 09 / 2013,Feb / 09 / 2013,Decision (Unanimous),3,5:00
Rocky Edwards,loss,Rob Hanna,Oct / 26 / 2012,Oct / 26 / 2012,Decision (Split),3,5:00
Rocky Edwards,win,William Walker,MMAX FC 6 - Fall Brawl 2019,Nov / 23 / 2019,Submission (Armbar),1,4:56
Rocky Edwards,win,P.J. Cajigas,WNFS 46 - Warrior Nation Fight Series 46,Jun / 24 / 2017,Submission (Arm-Triangle Choke),1,3:47
Rocky Edwards,loss,Randy Brown,Jun / 05 / 2015,Jun / 05 / 2015,TKO (Punches),2,4:25
Rocky Edwards,win,Keith Cunagin,TWEF - Turf Wars 24,Apr / 11 / 2015,TKO (Doctor Stoppage),2,3:41
Rocky Edwards,win,Zac Gobel,Gladiators of the Cage - The Road to Glory 7,Jul / 19 / 2014,Submission (Armbar),1,0:50
Rocky Edwards,win,Portland Pringle III,ACF - Absolute Cage Fighting,Feb / 28 / 2014,Decision (Unanimous),3,5:00
Rocky Edwards,draw,Julian Lane,Aug / 31 / 2013,Aug / 31 / 2013,Draw (Majority),3,5:00
Rocky Edwards,win,Mike Bogner,OFC 16 - Scoby vs. Clark,May / 03 / 2013,KO (Head Kick),2,0:20
Rocky Edwards,win,John Myers,CM 22 - Caged Madness 22,Jan / 05 / 2013,Submission (Rear-Naked Choke),1,4:50
Rocky Edwards,win,Larry Ray,Purgatory FS 7 - Purgatory Fight Series 7,May / 12 / 2012,Submission (Kimura),2,1:03
Patrick Delgado,loss,Craig Eckelberg,Sep / 28 / 2019,Sep / 28 / 2019,Decision (Split),5,5:00
Patrick Delgado,win,Dino Saracco,Inner Strength MMA 14 - Bring The Heat,Jun / 16 / 2018,Submission (Armbar),1,2:30
Patrick Delgado,loss,Jeff Peterson,Aug / 27 / 2016,Aug / 27 / 2016,Decision (Split),3,5:00
Patrick Delgado,win,Keith Schneider,3RT - 3 River Throwdown 3,Oct / 27 / 2012,Submission (Rear-Naked Choke),1,2:41
Patrick Delgado,win,Roland Larson,Driller Promotions / SEG - Downtown Showdown 8,Jul / 14 / 2012,Submission (Elbows),1,1:38
Patrick Delgado,win,Jahmale Maxwell,Seconds Out / Vivid MMA - Showdown at the Sheraton 3,May / 14 / 2011,Submission (Nutcracker Choke),1,2:32
Patrick Delgado,win,Ben Nelson,EFC 4 - Evolution Fighting Championships 4,Sep / 13 / 2008,Submission (Guillotine Choke),1,0:47
Patrick Delgado,win,Ted Worthington,CFFC - Chosen Few Fighting Championships 16,Mar / 09 / 2019,Submission (Guillotine Choke),2,0:29
Patrick Delgado,win,Brandon Suber,CFFC - Chosen Few Fighting Championships 14,May / 05 / 2018,Submission (Guillotine Choke),1,4:16
Patrick Delgado,win,Darin Oler,CFFC - Chosen Few Fighting Championships 10,Jan / 14 / 2017,Decision (Unanimous),3,5:00
Patrick Delgado,win,Quinton McCottrell,Stateline Warriors - Cage Fights 58,Sep / 07 / 2013,Decision (Split),3,5:00
Patrick Delgado,loss,Derek Smith,Sep / 08 / 2012,Sep / 08 / 2012,TKO (Submission to Punches),2,1:14
Patrick Delgado,win,Kalani Kahalewaike,Combat USA - 14,Sep / 12 / 2009,Submission (Guillotine Choke),1,2:14
Brandon Suber,win,Zak Kelly,AOW 9 - Art of War Cage Fighting 9,Nov / 10 / 2018,TKO (Punches),2,5:00
Brandon Suber,loss,Craig Eckelberg,Jan / 27 / 2018,Jan / 27 / 2018,Decision (Unanimous),3,5:00
Brandon Suber,win,Anthony Morgan,Alpha One Sports - IT Fight Series 45,Jul / 23 / 2016,Submission (Rear-Naked Choke),2,4:51
Brandon Suber,win,Tim McCavit,Alpha One Sports - IT Fight Series 43,Apr / 16 / 2016,Submission (Rear-Naked Choke),1,0:52
Brandon Suber,loss,Terry Blackwell,Aug / 04 / 2012,Aug / 04 / 2012,Decision (Split),3,5:00
Brandon Suber,win,John Felty,ASF - Arnold's Amateur MMA Festival,Nov / 25 / 2011,Decision (Unanimous),3,5:00
Brandon Suber,loss,Brett Ewing,Mar / 26 / 2011,Mar / 26 / 2011,Decision (Split),3,5:00
Brandon Suber,loss,Trent McCown,Oct / 09 / 2010,Oct / 09 / 2010,Submission (Triangle Choke),1,2:03
Brandon Suber,win,Frankie Perez,NAAFS - Caged Vengeance 7,Jul / 09 / 2010,Decision (Split),3,3:00
Brandon Suber,win,Alvaro Vallejo,1SC - 1st Strike Combat,Jan / 16 / 2010,Decision (Unanimous),3,3:00
Brandon Suber,win,Dan Pennington,Warfare MMA - Warrior Combat 22,Apr / 18 / 2009,Decision (Unanimous),3,3:00
Brandon Suber,loss,Mike De La Vega,Nov / 22 / 2017,Nov / 22 / 2017,Decision (Unanimous),3,5:00
Brandon Suber,win,Chico Bays,Alpha One Sports - IT Fight Series 48,Dec / 10 / 2016,KO (Punch),1,1:31
Brandon Suber,loss,John Andrew Law,Jun / 11 / 2016,Jun / 11 / 2016,Decision (Unanimous),3,5:00
Brandon Suber,loss,Reggie Merriweather,Nov / 21 / 2015,Nov / 21 / 2015,Decision (Split),3,5:00
Brandon Suber,win,Jacob Draves,Purgatory FS 7 - Purgatory Fight Series 7,May / 12 / 2012,Decision (Unanimous),3,5:00
Brandon Suber,win,James Douglas Ballinger,AAMMA 19 - Absolute Action MMA 19,Oct / 14 / 2011,Submission (Brabo Choke),3,4:31
Brandon Suber,win,Chris Bennett,AAMMA 11 - Absolute Action MMA 11,Feb / 26 / 2011,Decision (Unanimous),3,5:00
Brandon Suber,win,Brandon Demastes,1SC - Amateur MMA Festival,Mar / 05 / 2010,Decision (Unanimous),3,3:00
Brandon Suber,win,Tray Taylor,ICF - Sacrifice,May / 16 / 2009,Submission (Rear-Naked Choke),2,1:14
Brandon Suber,win,Rick Hoosier,Warfare MMA - Warrior Combat 21,Nov / 22 / 2008,Submission (Rear-Naked Choke),1,2:48
Cole Wilken,loss,P.J. Cajigas,Feb / 11 / 2017,Feb / 11 / 2017,TKO (Punches),1,1:51
Cole Wilken,win,Bobby Emmons,HFC 26 - Hoosier Fight Club 26,Nov / 14 / 2015,TKO (Punches),1,1:54
Cole Wilken,win,Craig Fruth,HFC 25 - Hoosier Fight Club 25,Sep / 25 / 2015,Submission (Guillotine Choke),1,1:11
Jake Erickson,loss,James Bochnovic,Nov / 25 / 2015,Nov / 25 / 2015,Submission (Rear-Naked Choke),1,2:33
Jake Erickson,loss,Jordan Chambliss,Nov / 09 / 2013,Nov / 09 / 2013,Decision (Unanimous),3,5:00
Jake Erickson,win,Bruce Johnson,3RT - 3 River Throwdown 4,Sep / 14 / 2013,Submission (Kimura),1,2:42
Jake Erickson,loss,Justin Rheaume,Jun / 22 / 2012,Jun / 22 / 2012,TKO (Punches),2,4:47
Jake Erickson,win,JayDee Carney,Brutaal Fight Night - Rise of Chosen 2,May / 18 / 2012,TKO (Doctor Stoppage),1,3:00
Jake Erickson,win,Matt Thurstin,Savage Entertainment - St. Patty's Day Walloping,Apr / 20 / 2012,TKO (Punches) ,1,0:27
Jake Erickson,win,James Clark,Riot at the Hyatt - Packer vs. Viking,Sep / 23 / 2011,TKO (Punches),1,1:14
Jake Erickson,loss,Anthony Montari,Nov / 13 / 2010,Nov / 13 / 2010,Submission (Guillotine Choke),1,1:44
Jake Erickson,loss,Ian Peterson,May / 22 / 2010,May / 22 / 2010,TKO (Punches),2,0:09
Jake Erickson,win,Vincent Evans,MF - Max Fights 18,Oct / 26 / 2013,TKO (Punches),1,1:58
Jake Erickson,loss,Clarence Jordan,Sep / 08 / 2012,Sep / 08 / 2012,Decision (Unanimous),3,5:00
Jake Erickson,loss,Branden Noetzel,Apr / 28 / 2012,Apr / 28 / 2012,Submission (Triangle Choke),1,2:20
Jake Erickson,loss,Thomas Lytle,Apr / 07 / 2012,Apr / 07 / 2012,Submission (Triangle Choke),1,1:31
Jake Erickson,loss,Jordan Chambliss,Mar / 19 / 2011,Mar / 19 / 2011,KO (Punch),1,0:30
Jake Erickson,loss,Deon Wright,Jul / 10 / 2010,Jul / 10 / 2010,Submission (Rear-Naked Choke),1,2:40
Tim Hiley,loss,Jesse Murray,Feb / 22 / 2020,Feb / 22 / 2020,Decision (Unanimous),3,5:00
Tim Hiley,win,Tyler Vogel,LFA 41 - Moises vs. Peterson,Jun / 01 / 2018,Decision (Unanimous),3,5:00
Tim Hiley,win,Charlie Brown,Pure FC - Pure Fight Night 1,Aug / 19 / 2017,Decision (Unanimous),3,5:00
Tim Hiley,win,Ricco Ralston,Extreme Combat Challenge - ECC: Spring Submissions,Apr / 15 / 2017,TKO (Punches),2,4:11
Tim Hiley,win,J.P. Saint Louis,Pure FC 2 - Pure Fighting Championships 2,Nov / 14 / 2015,Decision (Unanimous),3,5:00
Tim Hiley,win,Jason Plamann,KOTC - Certified,Apr / 20 / 2013,TKO (Punches),2,2:52
Tim Hiley,loss,Brendan Allen,Sep / 21 / 2018,Sep / 21 / 2018,Submission (Rear-Naked Choke),3,3:16
Tim Hiley,win,Willie Whitehead,LFA 34 - Watley vs. Jenkins,Mar / 02 / 2018,TKO (Submission to Punches),2,2:31
Tim Hiley,win,Eddie Larrea,Pure FC 7 - Lemminger vs. Schuman,Jun / 24 / 2017,Submission (Rear-Naked Choke),2,2:24
Tim Hiley,win,Alan Dahlke,Pure FC 5 - Pure Fighting Championships 5,Sep / 24 / 2016,Submission (Rear-Naked Choke),1,4:15
Tim Hiley,win,Richard Wolfe,KOTC - Damage Report,Jul / 26 / 2014,TKO (Punches),1,0:34
Tim Hiley,win,Joel    Alvarez,Madtown Throwdown 29 - Unstoppable,Jan / 05 / 2013,Submission (Triangle Choke),2,2:03
Alton Cunningham,win,Erick Murray,LFA 56 - Hubbard vs. Mota,Dec / 07 / 2018,TKO (Punches),2,1:53
Alton Cunningham,loss,Bevon Lewis,Jul / 10 / 2018,Jul / 10 / 2018,TKO (Knees),1,3:01
Alton Cunningham,win,Dominic Garcia,LFA 29 - Camus vs. Simon,Dec / 15 / 2017,TKO (Punches),1,4:58
Alton Cunningham,win,Jordan Seufzer,Pure FC 7 - Lemminger vs. Schuman,Jun / 24 / 2017,TKO (Doctor Stoppage),2,0:26
Alton Cunningham,win,Michael Adams,CFFC - Chosen Few Fighting Championships 9,Oct / 01 / 2016,TKO (Punches),3,2:07
Alton Cunningham,win,Jose Hernandez,CFFC - Chosen Few Fighting Championships 4,Jan / 31 / 2015,TKO (Punches),1,2:18
Alton Cunningham,win,Rodney Nash,3RT - 3 River Throwdown 5,Apr / 26 / 2014,TKO (Punches),2,0:39
Alton Cunningham,loss,Tony Johnson,Jun / 25 / 2019,Jun / 25 / 2019,Decision (Unanimous),3,5:00
Alton Cunningham,win,B.J. Lacy,Pure FC 11 - Brown vs. Camus,Oct / 27 / 2018,KO (Knee),1,0:53
Alton Cunningham,win,Wayman Carter,LFA 34 - Watley vs. Jenkins,Mar / 02 / 2018,TKO (Punches),3,0:40
Alton Cunningham,win,Rex Griepertrop,3RT - 3 River Throwdown 12,Aug / 26 / 2017,TKO (Punches),1,1:30
Alton Cunningham,win,Bobby Downs,Pure FC 4 - Ottow vs. Eckelberg,Jun / 11 / 2016,TKO (Doctor Stoppage),2,3:00
Jake Smith,win,Steve Kozola,Bellator 193 - Larkin vs. Gonzalez,Jan / 26 / 2018,KO (Punches),1,0:57
Jake Smith,loss,Joey Pierotti,Mar / 11 / 2017,Mar / 11 / 2017,Submission (Rear-Naked Choke),3,N/A
Jake Smith,win,Hadi Al-awadh,Knucklehead 14 - Al-Awadh vs. Smith,Mar / 26 / 2016,TKO (Punches),1,1:24
Jake Smith,win,Jay Jackson,KOTC - Undeniable,Jun / 27 / 2015,Decision (Split),3,5:00
Jake Smith,win,Josh Downing,FCFF - Rumble at the Roseland 78,Jul / 12 / 2014,KO,1,0:56
Jake Smith,loss,Rod Jaques,Aug / 24 / 2013,Aug / 24 / 2013,Decision (Split),3,3:00
Jake Smith,win,John Garcia,FCFF - Rumble at the Roseland 65,Aug / 25 / 2012,Decision (Split),3,3:00
Jake Smith,win,Billy Bob,Alive MMA - First Friday Fights 8,Apr / 02 / 2010,TKO (Punches),1,0:22
Jake Smith,loss,Adam Piccolotti,Sep / 07 / 2019,Sep / 07 / 2019,Submission (Rear-Naked Choke),2,2:34
Jake Smith,win,Scotty Hao,KOTC - Headstrong,May / 27 / 2017,Decision (Split),3,5:00
